date,row_id,row_name,total_list_size
2014-11-01,P84004,FIVE OAKS FAMILIY PRACTICE,8819
2014-11-01,P84005,THE VALLANCE CENTRE,7223
2014-11-01,P84009,AILSA CRAIG MEDICAL CENTRE,9342
2014-11-01,P84010,THE BORCHARDT MEDICAL CENTRE,11108
2014-11-01,P84012,NORTHENDEN GROUP PRACTICE,11028
2014-11-01,P84014,RK MEDICAL PRACTICE,4287
2014-11-01,P84016,LEVENSHULME MEDICAL PRACTICE,6865
2014-11-01,P84017,LADYBARN GROUP PRACTICE,10222
2014-11-01,P84018,MAULDETH MEDICAL CENTRE,6153
2014-11-01,P84019,VALENTINE MEDICAL CENTRE,10524
2014-11-01,P84020,PEEL HALL MEDICAL CENTRE,8397
2014-11-01,P84021,THE MAPLES MEDICAL CENTRE,7722
2014-11-01,P84022,KINGSWAY MEDICAL PRACTICE,5818
2014-11-01,P84023,SURREY LODGE PRACTICE,8106
2014-11-01,P84024,BOWLAND MEDICAL PRACTICE,7579
2014-11-01,P84025,ST GEORGE'S MEDICAL CENTRE,7100
2014-11-01,P84026,DICKENSON ROAD MEDICAL CENTRE,6303
2014-11-01,P84027,WEST POINT MEDICAL CENTRE,7247
2014-11-01,P84028,GORTON MEDICAL CENTRE,8330
2014-11-01,P84029,BENCHILL MEDICAL PRACTICE,9334
2014-11-01,P84030,NEW COLLEGIATE MEDICAL CENTRE,13039
2014-11-01,P84032,DRS HANIF & BANNURU,6462
2014-11-01,P84033,BEACON MEDICAL CENTRE,3839
2014-11-01,P84034,BARLOW MEDICAL CENTRE,13424
2014-11-01,P84035,BODEY MEDICAL CENTRE,16620
2014-11-01,P84037,DR CUNNINGHAM & PARTNERS,6825
2014-11-01,P84038,ASHVILLE SURGERY,7899
2014-11-01,P84039,THE RANGE MEDICAL CENTRE,8228
2014-11-01,P84040,CONRAN MEDICAL CENTRE,4869
2014-11-01,P84041,CORNERSTONE FAMILY PRACTICE,6073
2014-11-01,P84042,FLORENCE HOUSE MEDICAL PRACTICE,7775
2014-11-01,P84043,CORNISHWAY GROUP PRACTICE,8860
2014-11-01,P84045,THE PARK MEDICAL CENTRE,5119
