actual_cost,ccg,date,items,quantity,row_id,row_name,setting
2671.05,14L,01/11/2014,386,19905,P84004,FIVE OAKS FAMILIY PRACTICE,4
691.48,14L,01/11/2014,195,8591,P84005,THE VALLANCE CENTRE,4
1518.7,14L,01/11/2014,355,16980,P84009,AILSA CRAIG MEDICAL CENTRE,4
1654.89,14L,01/11/2014,373,17123,P84010,THE BORCHARDT MEDICAL CENTRE,4
2884.93,14L,01/11/2014,634,28188,P84012,NORTHENDEN GROUP PRACTICE,4
1385.19,14L,01/11/2014,382,15751,P84014,RK MEDICAL PRACTICE,4
2517.48,14L,01/11/2014,450,25536,P84016,LEVENSHULME MEDICAL PRACTICE,4
2189.91,14L,01/11/2014,447,18790,P84017,LADYBARN GROUP PRACTICE,4
1635.83,14L,01/11/2014,361,10788,P84018,MAULDETH MEDICAL CENTRE,4
3401.65,14L,01/11/2014,671,27832,P84019,VALENTINE MEDICAL CENTRE,4
2533.89,14L,01/11/2014,502,21972,P84020,PEEL HALL MEDICAL CENTRE,4
2452.49,14L,01/11/2014,489,23493,P84021,THE MAPLES MEDICAL CENTRE,4
1218.55,14L,01/11/2014,247,10552,P84022,KINGSWAY MEDICAL PRACTICE,4
1770.1,14L,01/11/2014,366,17166,P84023,SURREY LODGE PRACTICE,4
3262.41,14L,01/11/2014,697,32357,P84024,BOWLAND MEDICAL PRACTICE,4
2543.25,14L,01/11/2014,547,26413,P84025,ST GEORGE'S MEDICAL CENTRE,4
1061.62,14L,01/11/2014,251,15202,P84026,DICKENSON ROAD MEDICAL CENTRE,4
1324.81,14L,01/11/2014,297,14296,P84027,WEST POINT MEDICAL CENTRE,4
2616.53,14L,01/11/2014,662,27397,P84028,GORTON MEDICAL CENTRE,4
4246.81,14L,01/11/2014,775,37637,P84029,BENCHILL MEDICAL PRACTICE,4
3636.93,14L,01/11/2014,699,40068,P84030,NEW COLLEGIATE MEDICAL CENTRE,4
1545.86,14L,01/11/2014,368,18859,P84032,DRS HANIF & BANNURU,4
1658.22,14L,01/11/2014,294,18549,P84033,BEACON MEDICAL CENTRE,4
2166.85,14L,01/11/2014,489,23238,P84034,BARLOW MEDICAL CENTRE,4
3460.33,14L,01/11/2014,686,28021,P84035,BODEY MEDICAL CENTRE,4
1054.96,14L,01/11/2014,266,16067,P84037,DR CUNNINGHAM & PARTNERS,4
1808.52,14L,01/11/2014,326,17868,P84038,ASHVILLE SURGERY,4
1188.18,14L,01/11/2014,274,11953,P84039,THE RANGE MEDICAL CENTRE,4
